Age,Ethnicity,Country
16,Ada,Ghana
20,Akam,Ghana
,Akan,Ghana
27,Akan,Ghana
28,Akan,Ghana
25,Akan,Ghana
23,Akan,Ghana
22,Akan,Ghana
29,Akan,Ghana
23,Akan,Ghana
20,Akan,Ghana
24,Akan,Ghana
23,Akan,Ghana
25,Akan,Ghana
24,Akan,Ghana
23,Akan,Ghana
23,Akan,Ghana
24,Akan,Ghana
27,akan,Ghana
,Akan,Ghanaian
28,Akan,Ghana
38,Akan,Ghana
23,Akan,Ghana
30,Akan,Ghana
23,Akan,Ghana
26,Akan,Ghana
33,Akan,Ghana
,Akan,Ghana
24,Akan,Ghana
30,Akan,Ghana
28,Akan,Ghana
23,Akan,Ghana
23,Akan,Ghana
23,Akan,Ghana
41,Akan,Ghana
32,Akan,Ghana
22,Akan,Ghana
23,Akan,Ghana
27,Akan,Ghana
23,Akan,Ghana
21,Akan,Ghana
19,Akuapem,Ghana
25,Akuapem,Ghana
23,Akan,Ghana
24,Akyem,Ghana
22,Akan,Akan
22,Akan,Ghana
22,An Akan,Ghana
43,An Ewe,Ghana
31,Asante,Ghana
23,Asante,Ghana
,Asante,Ghana
25,Asante,Ghana
22,Asante,Ghana
23,Ashanti,Ghana
24,Ashanti,Ghana
,Ashanti,Ghana
28,Ashanti,Ghana
,Ashanti,Ghana
25,Bimoba,Ghana
26,Black,Ghana
27,Black African,Cameroon
23,Bono,Ghana
47,Bono,Ghana
,Bono,Ghana
22,Buem,Ghana
25,Builsa,Ghana
22,Builsa,Ghana
22,Cameroon-yamba,Cameroon
25,Dagaare,Ghana
22,Dagaare,Ghana
27,Dagaati,Ghana
21,Dagaati,Ghana
,Dagaati,Ghana
30,Dagaati,Ghana
33,Dagbani,Ghana
24,Dagbani,Ghana
23,Dagomba,Ghana
25,Dagomba,Ghana
18,Dagomba,Ghana
22,Dagomba,Ghana
28,Dagomba,Ghana
,Dagomba,Ghana
22,Dagomba,Ghana
25,Dagomba,Ghana
24,Dagomba,Ghana
20,Dagomba,Ghana
,Dagomba,Ghana
23,Dangme,Ghana
25,Dangme,Ghana
26,Ewe,Ghana
21,Ewe,Ghana
25,Ewe,Ghana
30,Ewe,Ghana
26,Ewe,Ghana
24,Ewe,Ghana
28,Ewe,Ghana
22,ewe,Ghana
,Ewe,Ghana
23,Ewe,Ghana
,Ewe,Ghana
26,Ewe,Ghana
21,Ewe,Ghana
26,Ewe,Ghana
38,Ewe,Ghana
25,Ewe,Ghana
22,Ewe,Ghana
22,Ewe,Ghana
28,Ewe,Ghana
,Ewe,Ghana
21,Ewe,Ghana
23,Ewe,Ghanaian
22,Ewe,Ghana
43,Ewe,Ghana
28,Ewe,Ghana
24,Fante,Ghana
25,Fante,Ghana
,Fante,Ghana
19,Fante,Ghana
23,Fante,Ghana
23,Fante,Ghana
27,Fante,Ghana
24,Fante,Ghana
,Fante,Ghana
23,Fante,Ghana
16,Fante,Ghana
21,Fante,Ghana
27,Fante,Ghana
23,Fante,Ghana
23,Fante,Ghana
,Fante,Ghana
23,Fante,Ghana
22,Fante,Ghana
23,Fante,Ghana
22,Fante,Ghana
22,Fante,Ghana
26,Fante,Ghana
26,Frafra,Ghana
22,Frafra,Ghana
,Frafra,Ghana
24,Frafra,Ghana
23,Frafra,Ghana
22,Ga,Ghana
34,Ga,Ghana
22,Ga,Ghana
21,Ga,Ghanaian
,Ga,Ghana
17,Ga,Ghana
28,Ga,Ghanaian
23,Ga,Ghana
31,Ga,Ghana
,Ga,Ghana
26,Ga-Adambge,Ghana
24,Ga-Adamgbe,Ghana
26,,Ghana
21,Ghanaian,Ghanaian-Ashanti
21,Ghanaian,Ghana
30,Ghanaian,Ghana
19,Ghanaian,Ghana
22,Ghanaian - dagomba,Ghana
30,Ghanaian Akan and Ga,Ghana
30,Gonja,Ghana
22,Gonja,Ghana
23,Guan,Ghana
28,Gurma,Ghana
24,Hausa,Ghana
18,Hausa,Ghana
18,Hausa,Ghana
22,Jason,Ghana
12,,Gh
37,Kantosi,Ghana
38,Kantosi,Ghana
30,Kantosi,Ghana
26,Kasem,Ghana
26,Kasena,Ghana
24,Kasena,Ghana
25,Kasena,Ghana
18,Kasena,Ghana
19,Kasena,Ghana
28,Kasena nankana,Ghana
26,Kasena- Ghanaian,Ghana
18,Kassebaum,Ghana
32,Kasena,Ghana
24,Kasena,Ghana
20,Kasena,Ghana
29,Kesena,Ghana
21,Konkomba,Ghana
33,Krobo,Ghana
22,Krobo,Ghana
31,Kusaal,Ghana
25,Kusaai,Ghana
27,Kusaai,Ghana
25,Luo,Kenya
25,Mole Dagbani,Ghana
39,Mole-Dagbani,Ghana
34,Mole-dagbong,Ghana
22,Moshie,Ghana
28,Nankana,Ghana
24,Nawuri,Ghana
27,Northerner,Ghana
,Northerner,Ghana
27,Northerner,Ghana
24,Northerner,Ghana
25,Northerner,Ghana
54,Northerner,Ghana
26,Ntrubo,Ghana
25,Sissala,Ghana
25,,Ghana
100,Voltarian,Canada
23,Wala,Ghana
31,Wangara,Ghana
70,Zabarma,Ghana
28,Zambrema,Ghana
